round,node_id,client_id,client_size,available
1,16041610008358382109,,,True
1,14956318881388669151,,,True
1,15916804899096099873,,,True
1,9287753045915947434,,,True
1,8054083035037299278,,,True
1,1413618489373566101,,,True
1,5010018462723189368,,,True
2,16041610008358382109,6,1194,True
2,14956318881388669151,4,2884,True
2,15916804899096099873,2,1550,True
2,9287753045915947434,1,510,True
2,8054083035037299278,0,803,True
2,1413618489373566101,5,1042,True
2,5010018462723189368,3,1379,True
3,16041610008358382109,6,1194,True
3,14956318881388669151,4,2884,True
3,15916804899096099873,2,1550,True
3,9287753045915947434,1,510,True
3,8054083035037299278,0,803,True
3,1413618489373566101,5,1042,True
3,5010018462723189368,3,1379,True
4,16041610008358382109,6,1194,True
4,14956318881388669151,4,2884,True
4,15916804899096099873,2,1550,True
4,9287753045915947434,1,510,True
4,8054083035037299278,0,803,True
4,1413618489373566101,5,1042,True
4,5010018462723189368,3,1379,True
5,16041610008358382109,6,1194,True
5,14956318881388669151,4,2884,True
5,15916804899096099873,2,1550,True
5,9287753045915947434,1,510,True
5,8054083035037299278,0,803,True
5,1413618489373566101,5,1042,True
5,5010018462723189368,3,1379,True
6,16041610008358382109,6,1194,True
6,14956318881388669151,4,2884,True
6,15916804899096099873,2,1550,True
6,9287753045915947434,1,510,True
6,8054083035037299278,0,803,True
6,1413618489373566101,5,1042,True
6,5010018462723189368,3,1379,True
7,16041610008358382109,6,1194,True
7,14956318881388669151,4,2884,True
7,15916804899096099873,2,1550,True
7,9287753045915947434,1,510,True
7,8054083035037299278,0,803,True
7,1413618489373566101,5,1042,True
7,5010018462723189368,3,1379,True
8,16041610008358382109,6,1194,True
8,14956318881388669151,4,2884,True
8,15916804899096099873,2,1550,True
8,9287753045915947434,1,510,True
8,8054083035037299278,0,803,True
8,1413618489373566101,5,1042,True
8,5010018462723189368,3,1379,True
9,16041610008358382109,6,1194,True
9,14956318881388669151,4,2884,True
9,15916804899096099873,2,1550,True
9,9287753045915947434,1,510,True
9,8054083035037299278,0,803,True
9,1413618489373566101,5,1042,True
9,5010018462723189368,3,1379,True
10,16041610008358382109,6,1194,True
10,14956318881388669151,4,2884,True
10,15916804899096099873,2,1550,True
10,9287753045915947434,1,510,True
10,8054083035037299278,0,803,True
10,1413618489373566101,5,1042,True
10,5010018462723189368,3,1379,True
