round,node_id,client_id,client_size,available
1,10638478441096886557,,,True
1,17066933981374600544,,,True
1,4258748508092400104,,,True
1,17459483916126441222,,,True
1,10171210347076434225,,,True
1,10844915751926316849,,,True
1,10758712416375128758,,,True
2,10638478441096886557,1,510,True
2,17066933981374600544,5,1042,True
2,4258748508092400104,2,1550,True
2,17459483916126441222,6,1194,True
2,10171210347076434225,4,2884,True
2,10844915751926316849,0,803,True
2,10758712416375128758,3,1379,True
3,10638478441096886557,1,510,True
3,17066933981374600544,5,1042,True
3,4258748508092400104,2,1550,True
3,17459483916126441222,6,1194,True
3,10171210347076434225,4,2884,True
3,10844915751926316849,0,803,True
3,10758712416375128758,3,1379,True
4,10638478441096886557,1,510,True
4,17066933981374600544,5,1042,True
4,4258748508092400104,2,1550,True
4,17459483916126441222,6,1194,True
4,10171210347076434225,4,2884,True
4,10844915751926316849,0,803,True
4,10758712416375128758,3,1379,True
5,10638478441096886557,1,510,True
5,17066933981374600544,5,1042,True
5,4258748508092400104,2,1550,True
5,17459483916126441222,6,1194,True
5,10171210347076434225,4,2884,True
5,10844915751926316849,0,803,True
5,10758712416375128758,3,1379,True
6,10638478441096886557,1,510,True
6,17066933981374600544,5,1042,True
6,4258748508092400104,2,1550,True
6,17459483916126441222,6,1194,True
6,10171210347076434225,4,2884,True
6,10844915751926316849,0,803,True
6,10758712416375128758,3,1379,True
7,10638478441096886557,1,510,True
7,17066933981374600544,5,1042,True
7,4258748508092400104,2,1550,True
7,17459483916126441222,6,1194,True
7,10171210347076434225,4,2884,True
7,10844915751926316849,0,803,True
7,10758712416375128758,3,1379,True
8,10638478441096886557,1,510,True
8,17066933981374600544,5,1042,True
8,4258748508092400104,2,1550,True
8,17459483916126441222,6,1194,True
8,10171210347076434225,4,2884,True
8,10844915751926316849,0,803,True
8,10758712416375128758,3,1379,True
9,10638478441096886557,1,510,True
9,17066933981374600544,5,1042,True
9,4258748508092400104,2,1550,True
9,17459483916126441222,6,1194,True
9,10171210347076434225,4,2884,True
9,10844915751926316849,0,803,True
9,10758712416375128758,3,1379,True
10,10638478441096886557,1,510,True
10,17066933981374600544,5,1042,True
10,4258748508092400104,2,1550,True
10,17459483916126441222,6,1194,True
10,10171210347076434225,4,2884,True
10,10844915751926316849,0,803,True
10,10758712416375128758,3,1379,True
